클러스터,위도,경도
0,37.64062076,126.918275
1,37.55467252,127.0097889
2,37.49611622,126.9335363
3,37.6286011,127.0504139
4,37.4902796,127.1305688
5,37.54985248,126.8432739
6,37.48650292,127.0187831
7,37.53856653,126.9465687
8,37.54027687,127.0915708
9,37.59379516,126.9413617
10,37.49099403,126.8381677
11,37.61825786,127.0888859
12,37.47132193,126.9042127
13,37.54520629,127.1477507
14,37.58332549,126.9837525
15,37.59496507,127.0344457
16,37.57913457,126.9171517
17,37.53180332,126.9014384
18,37.6637046,127.0453609
19,37.49748134,127.0662759
20,37.48661261,126.9716057
21,37.63763869,127.0250015
22,37.58111542,127.0865114
23,37.50451202,127.0247043
24,37.47093939,127.0340434
25,37.56747575,127.0577031
26,37.54302093,127.0496998
27,37.56186749,126.8077938
28,37.50420131,126.8598296
29,37.48156955,126.8815308
30,37.54761518,126.9748962
31,37.59266266,126.9951912
32,37.59112262,126.9097376
33,37.440965,126.45723
34,37.47173503,126.9369978
35,37.51344702,127.1209344
36,37.47457589,127.1071319
37,37.53624538,126.8554577
38,37.50830435,126.9018286
39,37.51088807,126.9489047
40,37.56697351,126.9150997
41,37.53271992,127.0012355
42,37.64865086,127.0759064
43,37.45070882,126.9092559
44,37.55695419,126.9028903
45,37.56978415,127.1743839
46,37.61344567,126.912552
47,37.61372078,127.0429352
48,37.58073543,127.0001542
49,37.56528872,126.9650721
50,37.52243318,126.8353601
51,37.57375646,127.0706018
52,37.58329264,126.8836929
53,37.5247511,126.9643996
54,37.67552912,127.0442201
55,37.62301618,127.0158214
56,37.49057386,126.9878005
57,37.53036049,127.1178869
58,37.48782479,127.0541735
59,37.65498922,127.0340913
60,37.66397454,127.0622428
61,37.55082851,126.9312353
62,37.48636728,126.9095827
63,37.49633955,127.0382217
64,37.52171048,127.0511865
65,37.51389577,127.1032994
66,37.5557629,127.0907154
67,37.55765493,127.1689806
68,37.56810714,126.9789665
69,37.49485014,126.9561851
70,37.59174983,127.010259
71,37.588695,127.0739643
72,37.55147366,126.8692403
73,37.58094736,127.0421735
74,37.61263809,126.9739296
75,37.59036039,126.9209799
76,37.45369997,127.0589407
77,37.49356285,126.892216
