날짜,강수량(mm),평균기온(℃)
2020_01,60.5,1.6
2020_02,53.1,2.5
2020_03,16.3,7.7
2020_04,16.9,11.1
2020_05,112.4,18.0
2020_06,139.6,23.9
2020_07,270.4,24.1
2020_08,675.7,26.5
2020_09,181.5,21.4
2020_10,0.0,14.3
2020_11,120.1,8.0
2020_12,4.6,-0.3
2021_01,18.9,-2.4
2021_02,7.1,2.7
2021_03,110.9,9.0
2021_04,124.1,14.2
2021_05,183.1,17.1
2021_06,104.6,22.8
2021_07,168.3,28.1
2021_08,211.2,25.9
2021_09,131.0,22.6
2021_10,57.0,15.6
2021_11,62.4,8.2
2021_12,7.9,0.6
2022_01,5.5,-2.2
2022_02,4.7,-1.1
2022_03,102.6,7.7
2022_04,20.4,14.8
2022_05,7.5,19.1
2022_06,393.8,23.3
2022_07,252.3,27.3
2022_08,564.8,25.7
2022_09,201.5,22.4
2022_10,124.1,14.6
2022_11,84.5,10.0
2022_12,13.6,-2.8
2023_01,47.9,-1.5
2023_02,1.0,2.3
2023_03,10.5,9.8
2023_04,96.9,13.8
2023_05,155.6,19.5
2023_06,195.6,23.4
2023_07,459.9,26.7
2023_08,298.1,27.2
2023_09,134.5,23.7
2023_10,31.0,15.8
2023_11,81.9,6.8
2023_12,85.9,1.1
2024_01,18.9,-0.5
2024_02,74.7,3.8
2024_03,29.9,7.0
2024_04,33.2,16.3
2024_05,125.1,18.5
2024_06,115.9,24.6
2024_07,557.3,26.6
2024_08,72.8,29.3
2024_09,143.9,25.5
2024_10,74.0,16.7
2024_11,60.0,9.7
2024_12,5.7,0.8
