날짜,평균기온(℃),강수량(mm)
2019_01,-0.9,0.0
2019_02,1.0,23.8
2019_03,7.1,26.8
2019_04,12.1,47.3
2019_05,19.4,37.8
2019_06,22.5,74.0
2019_07,25.9,194.4
2019_08,27.2,190.5
2019_09,22.6,139.8
2019_10,16.4,55.5
2019_11,7.6,78.8
2019_12,1.4,22.6
2020_01,1.6,60.5
2020_02,2.5,53.1
2020_03,7.7,16.3
2020_04,11.1,16.9
2020_05,18.0,112.4
2020_06,23.9,139.6
2020_07,24.1,270.4
2020_08,26.5,675.7
2020_09,21.4,181.5
2020_10,14.3,0.0
2020_11,8.0,120.1
2020_12,-0.3,4.6
2021_01,-2.4,18.9
2021_02,2.7,7.1
2021_03,9.0,110.9
2021_04,14.2,124.1
2021_05,17.1,183.1
2021_06,22.8,104.6
2021_07,28.1,168.3
2021_08,25.9,211.2
2021_09,22.6,131.0
2021_10,15.6,57.0
2021_11,8.2,62.4
2021_12,0.6,7.9
2022_01,-2.2,5.5
2022_02,-1.1,4.7
2022_03,7.7,102.6
2022_04,14.8,20.4
2022_05,19.1,7.5
2022_06,23.3,393.8
2022_07,27.3,252.3
2022_08,25.7,564.8
2022_09,22.4,201.5
2022_10,14.6,124.1
2022_11,10.0,84.5
2022_12,-2.8,13.6
2023_01,-1.5,47.9
2023_02,2.3,1.0
2023_03,9.8,10.5
2023_04,13.8,96.9
2023_05,19.5,155.6
2023_06,23.4,195.6
2023_07,26.7,459.9
2023_08,27.2,298.1
2023_09,23.7,134.5
2023_10,15.8,31.0
2023_11,6.8,81.9
2023_12,1.1,85.9
2024_01,-0.5,18.9
2024_02,3.8,74.7
2024_03,7.0,29.9
2024_04,16.3,33.2
2024_05,18.5,125.1
2024_06,24.6,115.9
2024_07,26.6,557.3
2024_08,29.3,72.8
2024_09,25.5,143.9
2024_10,16.7,74.0
2024_11,9.7,60.0
2024_12,0.8,5.7
