클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,12255,943,1,0,158,12207,42850,122019,137264,88278,71986,67571,71939,74853,74505,81047,92608,102728,123991,98335,66440,60726,55497,35901,37.640620757407405,126.91827496666666
1,26310,2813,80,0,273,28228,71614,177080,415776,273175,195539,194234,193413,213884,210588,214595,249623,306088,387623,253100,184488,171480,149524,87777,37.554672516857146,127.00978886571428
5,6402,137,0,0,0,7215,25830,75446,92585,53667,44787,45344,48964,50684,49259,55067,62702,65849,79349,63394,41773,38664,37860,23812,37.549852478630136,126.84327391369862
6,6692,135,4,0,53,4296,35515,84058,211721,137451,106985,105595,110130,121203,121937,129766,145373,187333,239225,140467,96614,87146,68791,32448,37.48650292229167,127.01878307708334
7,10720,438,17,0,41,12449,36864,101538,213467,118868,76663,75476,78155,83953,79577,85970,99295,128648,200778,112325,77867,80577,70843,43492,37.53856653323529,126.94656868235295
8,13008,570,30,0,31,12973,57346,120649,197255,169917,151224,147706,149975,156295,160398,174600,190183,204284,247304,192266,146393,125003,103563,55986,37.540276871509434,127.09157076037735
9,6243,172,0,0,35,9824,32221,68217,91857,54725,38834,35049,36449,36418,35638,37925,49023,57131,70937,55812,36888,35050,32712,21242,37.59379516368421,126.94136173508771
10,4566,319,13,0,22,8038,18980,51655,71067,38567,25429,23339,25878,26252,25662,28360,33454,37989,51444,44086,26602,24012,22013,13913,37.49099402638298,126.83816765531915
11,11099,981,38,0,26,13295,42737,133681,144426,77102,58429,55323,57842,57833,55830,60444,72705,85314,106925,87027,55219,49540,52643,34591,37.618257858250004,127.08888587250001
13,4814,58,28,0,2,6789,15425,43324,56681,34670,26843,27110,30153,30969,29846,32088,37048,43174,50632,43553,27284,26581,25787,14541,37.545206293142854,127.14775069142857
15,4826,212,26,0,33,4263,11859,32606,64159,34483,30383,26929,28913,32193,28208,31740,38216,45697,51959,35477,24494,26861,26660,18714,37.59496507482759,127.03444572931035
17,20360,1396,13,0,56,19829,57735,140872,261052,148796,105329,107134,113454,115811,113922,121934,140962,189136,268351,178906,124690,124837,122802,79763,37.53180331842105,126.90143844035087
19,4926,127,0,0,11,4285,22905,46446,72632,55566,45697,44308,51469,57757,55648,61490,66362,78980,76919,56182,35297,36005,43850,16558,37.49748133567567,127.0662759027027
20,5563,158,0,0,10,7024,16842,45458,79137,48807,34313,32046,32695,34561,32992,36419,39553,46288,60274,45779,31383,31108,27789,17753,37.48661260913044,126.97160574492754
21,17755,461,3,0,125,25150,57723,146473,209690,141115,105754,103930,111251,113772,116018,125925,141927,165158,213895,177437,121328,109881,104543,69789,37.63763869479167,127.02500148541667
22,8190,171,0,0,48,12052,29658,64519,96464,59428,45734,43184,47142,47071,47467,52594,60734,72509,88364,75690,48176,43712,40312,24796,37.581115417826084,127.08651137173912
23,24944,1328,1,0,64,17458,63123,153231,321912,282394,169612,156638,168053,190676,187901,203965,234672,304405,447050,307381,193449,198565,193492,113932,37.50451202065217,127.02470427608695
25,13925,900,29,0,46,18418,55208,148345,279372,137215,93258,89770,96854,104648,99222,107349,129518,160953,239016,160219,93399,88771,81366,51619,37.567475747391306,127.05770306304348
26,20812,1926,124,0,62,21145,74334,168152,511943,264905,141728,128854,140477,158494,162454,176714,198996,268029,458522,240744,143675,137631,115293,63232,37.54302093014493,127.04969984782609
