클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
0,5990,3,0,0,158,11151,25445,85856,65745,27621,9633,9724,7908,2860,416,4628,4313,9008,53122,53048,27089,26899,24431,27655
1,10006,0,0,0,511,30636,34448,94203,142002,72338,39894,30172,25863,18018,9097,12204,14894,38955,104165,73062,42249,38468,46156,44810
2,5350,0,0,0,338,52175,79672,242837,355091,192404,78699,51903,45869,31471,11080,18211,36453,77272,209273,220549,117741,117638,114425,94929
3,2612,0,0,0,305,42817,83669,208198,174407,98437,59182,44105,38722,24167,8997,9869,32289,61861,131283,156503,84498,77662,77170,62143
4,3669,0,0,0,310,28173,46809,145985,153267,66369,41897,32577,27127,17404,3612,6058,13426,37653,117213,97588,54524,55822,55846,42051
5,1905,0,0,0,213,2941,13367,5658,15604,3111,10443,9940,9423,8114,4466,10636,11604,11098,3804,23431,2849,10538,6129,5556
6,10069,2,0,0,243,34787,22324,87671,75274,50105,17896,10449,7159,8798,9917,21127,29914,43767,87827,80220,51498,40300,36765,31153
7,11989,0,0,0,1441,40450,21323,36813,94369,179121,104164,107435,105719,110793,74348,52000,37103,34710,68402,32236,110763,176895,210564,58200
8,5757,1,0,0,198,5277,36491,91316,255314,122053,31926,19027,8181,8615,12682,25917,46016,94777,164661,35434,36535,41109,20793,11451
9,5761,0,0,0,973,22836,29185,88713,91913,42417,19844,11304,12864,7927,4448,4908,7744,21093,61961,66604,33768,26738,32373,25539
11,8149,0,0,0,348,17372,31246,91048,89013,35975,21744,16028,13068,6842,1992,5531,13865,17012,68343,66232,35100,31958,30825,25650
12,24211,3,2,0,656,49564,64874,300146,604692,333255,103631,66058,37436,33006,52527,60851,127962,291855,583741,274421,79799,70285,45461,86347
14,94507,37,2,0,16307,195699,535575,1558221,2923001,1479480,691118,488532,356007,231646,185279,395603,577524,1053050,2032113,1117409,771863,718063,566959,326679
15,25655,1,0,0,4645,40631,40132,137200,219602,99049,21048,14051,12310,11372,12960,16267,32334,69223,172335,78077,29799,27040,38421,71594
16,215,1,0,0,127,20527,43006,127905,109645,62834,33792,26336,24731,13877,4683,4285,16664,31222,74618,86189,46966,45083,45286,35456
17,13361,2,0,0,167,39269,47725,141973,137078,74496,35669,28108,25814,19414,13040,12915,18412,33842,89978,92854,42064,32478,42794,44595
18,23090,0,1,0,459,34688,60843,205852,257650,137360,88894,81473,55629,41842,21310,26461,39553,56980,105694,112897,133812,132327,87828,84834
19,2672,0,0,0,45,17840,38714,114093,76486,30298,20668,15499,11887,7447,2233,6826,10773,20804,52437,80411,44461,27955,32957,33098
20,6970,0,0,0,2317,22617,41138,115815,99448,46052,23297,15685,14389,7903,5351,9678,20200,37118,87158,78238,43686,37335,39126,31434
21,4010,0,0,0,108,31817,63103,160563,133255,60311,33613,24903,22811,15116,5733,4246,14206,36592,83859,100731,56885,51100,49900,45112
22,7605,1,0,0,216,23950,18961,88465,204137,98826,48980,26954,19467,21298,13429,31895,53497,80719,142074,48355,27499,27866,37107,46507
23,2635,0,0,0,92,26436,43243,133340,103396,28545,12016,9118,10358,12601,8142,12338,18390,32380,84656,94452,42713,40150,43873,44819
24,3464,2,0,0,56,8692,34976,70738,57480,33500,32655,35893,31325,31199,25641,22204,24167,32878,54313,44383,50639,63227,51444,13385
26,4408,6,0,0,65,27140,56667,184415,138038,92962,43473,35044,25155,16803,8634,16523,29490,51293,132338,126524,67804,58247,47316,56211
27,7719,0,0,0,66,28849,49212,145241,160447,70128,39283,25102,22056,12803,2726,11647,17576,47039,114077,102803,60246,53818,53730,40690
29,2386,0,0,0,134,15135,20701,64241,68056,26325,11281,5784,4713,1242,2966,6245,7544,18841,50789,41554,20920,18738,18919,15568
30,23399,0,0,0,4003,41050,55739,187261,239709,118097,32174,33518,35362,25436,13844,6244,5608,40433,153963,167246,81541,74168,86357,73709
31,31647,2,0,0,1344,64895,62421,204835,526829,287926,127624,104260,98785,112990,79681,70252,112243,227691,486823,227468,150092,196075,198883,56316
32,5984,0,0,0,153,17872,12649,22227,60578,40014,25492,25575,23909,26544,14426,7263,7339,12680,26956,23819,23160,38114,48116,12264
33,1992,0,0,0,44,12041,23426,78154,48653,23776,13246,9703,9157,3149,1391,4224,8695,17775,34670,45292,18885,24081,23718,17285
35,868,0,0,0,214,1118,78403,285572,692946,370283,194684,140358,83820,41828,17879,104969,152838,299615,472940,182796,186851,207729,138684,39622
37,2952,1,0,0,51,14784,17928,47427,63439,34952,15980,14893,11465,6413,2741,5308,10322,15498,36857,46173,22856,22567,21838,20224
39,6465,15,1,0,58,6780,12549,50418,189400,97889,27504,14948,9730,8751,7658,23671,40136,92675,98092,22595,24077,25965,21185,13569
41,1969,0,0,0,68,12961,22645,61567,78078,47118,41162,14438,16531,19118,6114,16458,24535,30742,40037,36389,19130,22694,32077,27770
42,6450,0,0,0,64,24999,46980,131892,129803,59995,30919,20293,21318,8357,894,7534,19907,39501,86380,86445,39373,39790,41716,29912
43,14601,3,0,0,524,41507,69735,165564,95274,54416,27453,13532,16033,16430,12528,15331,21794,66992,156393,163369,47483,35893,38190,55163
44,7174,0,0,0,255,4577,77305,181593,651457,567984,208855,101805,54427,48141,14397,52528,92073,186764,451700,251906,186046,160777,129313,24796
45,2464,0,0,0,14,8792,14565,44644,46765,25548,9102,7819,7475,5376,1000,2216,4191,11780,35099,30952,17396,14415,15813,13832
46,514,3,0,0,95,6000,9827,24232,14903,15410,12393,14561,9250,9677,9291,14134,33439,30244,8340,21457,11585,17138,38582,17807
47,2523,0,0,0,106,10783,11789,31286,34003,18167,8181,5005,4985,2845,1178,2044,3587,11647,25374,19739,12256,12028,12689,8885
48,4372,2,0,0,236,24800,15237,48753,127240,129339,59878,63475,50963,54996,31709,26751,25647,25194,20079,20819,73254,116397,115681,20375
50,2410,0,1,0,313,5987,72626,267351,730683,676632,241032,91310,50469,46237,10939,68867,111762,274029,442154,248269,196693,239862,223113,69343
51,4347,1,0,0,158,6554,5112,38911,106564,31804,12928,7886,6399,2435,2170,4911,9485,32545,76447,35160,21641,20808,20762,13012
52,48,0,0,0,44,13635,30498,78116,68726,29347,16332,12772,9269,6267,894,5625,8088,25271,56433,50914,16926,26351,24650,19728
53,3957,0,0,0,68,18559,16994,104956,144038,86578,43593,31572,21649,12827,2067,14962,18707,40515,92445,75739,41603,41670,47181,36376
54,4683,22,0,0,845,14012,56617,309355,457215,166679,66715,53356,48935,46473,31120,40652,59545,230181,295473,131976,148295,140266,106123,31702
55,7307,1,0,0,433,67692,106874,341363,380193,171735,86448,60384,53457,32004,4446,33641,55885,107774,250124,216519,126465,127815,117341,89517
56,21669,4,0,0,4382,44735,44862,153015,249195,142879,96333,47757,58548,42182,27131,36037,57646,81512,194716,128180,53757,81793,99437,55432
57,5799,0,0,0,165,6274,9000,52423,144875,36002,12225,1855,3893,3889,6885,18746,28387,54070,90731,20660,15482,14621,11753,4792
58,6522,0,0,0,2421,28996,52438,212711,611290,291030,63106,24806,16010,6894,10612,27035,62248,232511,439701,180858,90432,75788,50338,23297
59,2709,32,0,0,124,1884,4858,10438,21460,19242,16684,11754,6405,10283,7336,7077,17931,21100,12791,4018,2963,4790,4432,6226
60,3558,0,0,0,50,12596,29326,77960,62800,24312,16654,14100,10456,2955,3439,2801,7419,7663,42863,61330,27665,23578,27150,25251
61,4849,11,0,0,138,13661,18601,56129,132316,45179,20394,14370,14860,6358,7852,10415,16305,33821,95793,54732,29661,27666,27367,41097
62,4956,0,0,0,332,27008,43039,112807,117863,55426,28359,21167,23167,10303,6566,4645,9872,35051,85053,86134,41015,42867,37625,35043
63,5370,0,0,0,2040,14158,27010,71860,44361,21406,13580,11383,6658,1836,7708,10441,9444,20008,45616,54221,27409,24289,25419,19851
64,154,1,0,0,91,23622,46611,108403,88952,45125,25680,18429,16663,10403,2990,7857,9991,32991,74147,73575,29274,38520,36289,31392
65,9774,21,0,0,516,27899,178731,258553,468869,475443,259436,167514,115648,91348,62004,80899,140087,252621,323672,292851,379638,317647,273746,87961
66,1986,0,0,0,391,14486,12298,33336,32722,20042,5944,1881,4236,1732,6601,7361,10186,11698,23688,24193,17961,16257,13807,12885
67,7811,0,0,0,150,42845,68465,228825,298471,107724,52318,37885,37306,19279,20242,23728,35779,75380,184061,139576,83166,82272,89864,62401
68,26191,22,11,0,5842,76838,314140,864785,2322877,1289979,767479,573550,357544,214262,129192,324789,567694,1076680,1602822,684326,611799,723903,624328,219658
70,19470,0,0,0,322,36317,60109,186019,140924,57242,32719,31486,17967,13655,9572,19236,26502,35178,92648,116704,55337,54037,59123,55538
72,16286,3,2,0,1900,50387,32393,99205,249993,134191,79144,55252,35891,29161,23269,60694,108527,143922,190063,63820,34793,43997,64079,70311
