클러스터,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,월
0,9038,844,1,0,118,11316,42385,112733,122117,73612,56927,52492,56592,57736,57084,61479,72476,81951,109773,92155,58234,52814,48262,28829,2019-01
1,22472,1599,2,0,343,28023,69501,162709,429980,270868,179439,177860,182706,194069,190372,194088,211200,269517,389655,257486,179758,161178,139674,79436,2019-01
5,5874,0,0,0,0,7302,26703,73034,89120,51687,40563,40634,45648,47746,45981,49631,54736,61990,79951,71837,41873,38749,37745,21875,2019-01
6,5279,2,1,0,48,3979,33852,88288,249958,138774,105373,104849,107476,122101,122144,126725,136255,172907,264380,152527,94132,82390,68299,28886,2019-01
7,9376,3,0,0,40,13338,36178,102210,226342,115740,71387,69615,72337,81215,74971,80362,87580,112640,203168,119601,79278,75847,65406,37025,2019-01
8,12090,247,1,0,18,13641,57378,132398,207628,170779,142817,140077,145076,153094,151060,163511,174818,190907,245819,199429,140389,127489,104968,52382,2019-01
9,4708,0,0,0,14,9520,28470,63249,87982,49027,34489,31264,31557,33317,32554,33817,39727,48667,64361,56472,35155,32470,28583,17734,2019-01
10,3657,51,0,0,14,6952,17839,44724,58862,33454,22515,21041,23320,23855,22455,23906,27940,31692,46199,41297,24562,21478,19062,11968,2019-01
11,9780,609,0,0,21,12749,40939,135278,140386,72078,51579,48629,53704,54403,49721,53530,61855,72924,101304,92301,55079,46942,49591,31627,2019-01
13,4294,0,0,0,3,6696,16701,43827,58669,33515,25715,24675,27147,28193,27153,29002,32388,38629,50188,45873,25798,25235,24993,13173,2019-01
15,3612,45,0,0,34,4301,12235,30811,62428,32200,22948,20249,25569,28083,23667,25296,30238,39917,46729,34807,22795,22089,21732,15009,2019-01
17,16935,533,0,0,17,19620,61178,155134,271348,151727,99043,100713,104550,111120,105587,110739,124848,172807,267897,197962,126859,123993,115976,70406,2019-01
19,4645,4,0,0,26,4130,23679,50344,73617,54976,39805,40862,52015,56821,50115,55082,58705,76457,77770,58024,35472,38247,55207,16064,2019-01
20,5240,4,0,0,0,6761,16558,44731,80415,49326,32896,30375,31600,34131,32122,34453,36861,43737,60114,48634,32180,31716,27943,16550,2019-01
21,16595,0,0,0,61,23273,57839,147242,212517,136298,100048,95258,105298,109806,109115,116625,129177,151031,213817,187169,121882,109176,100003,65358,2019-01
22,7514,0,0,0,24,12106,30068,62143,99171,57835,42105,40044,43129,44948,44179,48350,56019,66752,86600,79132,48297,43026,39583,23094,2019-01
23,23256,457,0,0,66,15752,62858,162170,341990,278499,154639,139281,154063,173992,173665,183769,200999,266334,427698,305983,185010,188652,178354,100214,2019-01
25,12641,332,0,0,48,19442,55756,149031,287010,133009,89952,85213,89897,100014,93760,99528,116116,147721,238467,171047,95092,85432,75975,45675,2019-01
26,18124,1281,2,0,99,20946,71668,168892,532454,251076,129301,117432,121397,136955,141473,149269,162125,227695,447642,243808,136477,127053,104260,55809,2019-01
27,7631,167,0,0,32,18641,60474,128645,153470,107420,102149,113044,119117,128125,134450,136880,136549,165672,211797,155732,100017,88679,83202,34803,2019-01
29,20949,0,0,0,1799,58636,112609,350102,968123,511851,217944,194601,201724,220882,217606,230878,264134,432847,846971,486279,276944,253494,185414,99936,2019-01
30,203664,12600,8,0,16706,281826,790794,2028468,3573235,2464747,1835770,1914766,2078712,2215191,2131438,2321586,2462255,2823216,3753320,2718315,1833045,1646407,1433760,800303,2019-01
32,10031,2256,0,0,16,18390,41652,105768,148750,80837,59237,55793,62057,63938,61464,65040,77420,89432,120166,105411,65773,58243,59284,36516,2019-01
35,7533,3,0,0,15,8925,35674,79183,144398,87205,63547,64096,73373,79981,77160,81661,91081,104175,139458,98637,68818,75581,67905,27862,2019-01
41,14598,2,0,0,11,19624,33679,47375,88872,73100,52356,53186,64899,75402,77697,82495,101442,131635,172393,134473,89826,95568,99185,67676,2019-01
44,5014,0,0,0,2,6577,14287,33999,79131,56290,38727,39849,49030,51942,54678,56034,61463,66567,92965,70519,43397,38744,36016,20363,2019-01
46,2815,1,0,0,5,5428,13021,34213,45541,27569,20117,20885,21807,21809,20238,21115,25072,25084,31582,28497,17265,13655,13792,8601,2019-01
48,11814,2,0,0,23,6407,28716,63178,164752,133340,116508,118477,139837,169516,166154,167287,184753,215917,257283,176912,117637,136250,140551,60249,2019-01
49,2676,89,0,0,9,3799,19374,69227,186580,62714,41023,40753,41530,46773,45632,46524,52071,70472,148435,60236,41276,40199,28818,14123,2019-01
53,2883,2,0,0,3,2289,16191,41810,129354,77065,40448,41131,40372,46756,46416,51286,57346,75622,138391,77608,48810,42959,31077,15307,2019-01
56,19039,683,0,0,147,19156,70364,172414,371341,239893,163006,159039,172426,188258,187240,198716,218220,259476,402180,269194,170549,158928,139407,78720,2019-01
57,3744,2,0,0,1,5046,15414,44691,87955,42345,29098,26929,28753,31007,31251,31987,35846,44174,70298,47430,28814,26458,23776,11800,2019-01
58,5059,515,1,0,119,5584,32366,73150,174865,111960,62633,64118,64091,68894,69121,72378,81296,107155,165800,93632,57005,55834,45315,21349,2019-01
59,16309,4,0,0,86,23656,64569,155820,190548,117860,86385,78258,83581,83172,81090,85918,96650,117075,155129,149838,96559,82501,78209,51367,2019-01
60,6247,7,0,0,21,10164,24287,70102,70292,40085,32533,30648,33632,32979,31769,33614,36675,41016,52141,57345,33767,28140,26885,18787,2019-01
61,2553,2,0,0,3,4137,12484,33594,71320,39807,27823,27068,27916,28481,26039,27501,30321,38440,61061,37663,23282,22512,19489,10806,2019-01
62,20793,311,2,0,159,37729,71719,184344,310303,187635,118257,106443,112240,116291,113168,123936,137892,166112,244184,205633,134942,130378,124458,73790,2019-01
63,10196,137,3,0,84,12827,48298,151587,427842,328327,153928,120402,115646,142469,137393,148020,160512,240630,409362,231374,132776,135466,97750,47970,2019-01
64,4953,0,0,0,36,6421,29456,70955,199475,129723,57178,49288,46755,52116,50992,57480,60825,82514,150441,96168,54445,50788,39995,15457,2019-01
65,99002,1930,8,0,292,76463,343563,951882,1661237,1257643,875900,912664,949170,1034011,1054928,1120179,1231002,1494608,2077421,1526606,1085871,965011,877165,428485,2019-01
66,4926,0,0,0,5,9390,24399,52898,93677,56569,39965,37015,41783,45034,43237,45704,49770,58995,80282,61820,39623,34786,31634,18082,2019-01
67,3442,1099,0,0,3,8047,47229,88537,74452,35183,25959,24496,24535,24569,23944,27375,41581,55287,56832,52602,30389,24605,21749,16498,2019-01
68,20442,1021,0,0,173,20363,95814,365211,1075432,518669,307337,342773,333109,393031,385367,416875,453169,601947,1076976,553349,405302,399818,301743,141512,2019-01
69,6464,0,0,0,20,6784,18062,46216,82941,62070,36618,33963,39438,40245,37170,40872,46776,57532,75704,58374,37622,36668,35303,22927,2019-01
70,20850,876,7,0,108,17169,46971,121489,195916,146964,112004,110457,128940,138626,134685,141920,153836,187235,229988,182058,124487,118377,115418,67673,2019-01
73,13734,1,0,0,2667,28423,63801,148012,250820,213516,210889,266408,309927,339454,348302,352340,323642,297842,298237,216711,152146,114605,98560,53978,2019-01
77,27230,828,0,0,1004,103132,120232,249052,448942,318502,234704,239490,242152,250286,243386,262800,279904,359736,441184,313178,216236,230220,213788,111858,2019-01
78,5074,22,0,0,481,17836,27129,64910,113874,51971,32925,30555,34084,35666,32146,35424,42148,59722,96830,55671,37197,37172,32074,18938,2019-01
80,3215,0,0,0,2,4957,11419,34576,41645,23764,18465,17378,21379,20461,19440,21250,23483,28512,38212,31910,18152,17154,17227,8959,2019-01
81,73563,3356,0,0,703,60838,121100,262735,527752,392196,281417,299074,359057,404118,413041,444184,498244,631684,870794,682740,484486,481672,471447,285238,2019-01
82,8578,0,0,0,16,9025,30778,88716,108634,67195,50449,48941,58599,58106,55831,60111,65436,73932,91746,87613,53479,47097,46907,28329,2019-01
83,8899,5,1,0,32,15476,44990,108046,148562,104387,78618,76643,85043,88252,89018,99024,108739,123645,159768,140831,97490,76636,69130,40877,2019-01
84,2618,107,2,0,10,4434,11914,30860,57894,31639,25548,27004,30183,29745,29935,30653,30400,35533,48438,33335,20652,19172,17319,9575,2019-01
85,13044,426,0,0,83,32648,64864,171613,218482,121256,80059,78078,80957,84875,80771,88038,102681,128968,176544,147670,89497,83255,76104,49725,2019-01
87,6290,1,0,0,49,8087,22523,59431,97416,60012,41168,39283,41181,44023,41728,44994,49734,60721,85217,65321,42185,38679,35529,20775,2019-01
89,14139,15,0,0,1975,24757,59010,127879,176631,109106,83047,80967,88129,90302,88167,95800,108769,130191,166289,152476,95099,83489,77859,49525,2019-01
90,74070,1096,8,0,4386,152681,211889,439176,1053694,795455,694149,754272,841870,941848,998690,1019234,1000089,1119693,1260332,935733,631632,535801,469578,319238,2019-01
92,10405,412,0,0,130,12429,37671,115806,256114,121461,61249,54369,57960,62055,60638,65407,74121,113346,230603,128661,72004,65463,55398,32562,2019-01
94,18916,6,4,0,118,25508,66870,167282,259876,181882,145606,138830,152524,176020,172948,181460,197454,214956,280290,222040,140304,124832,110338,62736,2019-01
95,12558,159,0,0,47,28197,66419,151970,227923,124923,84232,77123,78987,83938,79799,89292,98774,119726,172802,131507,82109,78493,71871,43022,2019-01
97,14431,255,0,0,137,15081,61229,176923,520903,380757,189803,160658,162342,198450,189420,203427,245006,291763,504176,284279,170222,166618,143509,62198,2019-01
98,6068,1011,0,0,17,13776,30703,90725,133749,72669,43851,42935,44857,48073,45112,50233,55851,68194,98613,81560,49188,47745,40135,26047,2019-01
99,11479,0,0,0,175,24882,50940,141720,194042,106984,70583,68246,70882,73249,71467,77317,89941,109299,168292,145327,88361,77177,72712,42453,2019-01
101,7680,36,0,0,104,6958,30242,71326,156730,80998,56360,58052,64618,70612,67956,71280,78166,107038,169162,90644,61498,60748,52942,33366,2019-01
