,클러스터,연도_분기,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균기온(℃),강수량(mm),공휴일 수,Unnamed: 0,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
0,0,20191,62247,15821,6239,2426,15523,74274,224120,587695,633469,399610,328562,302672,327003,339356,339275,372738,438235,474110,557173,475753,323507,295843,274008,161208,2.4,50.6,5,0,4238503665,101222,3314608374,923895291,671805436,593781266,659319418,636542657,753159597,619193253,304702038,121939721,165097286,504499531,1015580541,1858664833,572721753,2050436909,2037662311,49422777,274340562,444043512,2287553080,804589023,228150262,71063,30159,12919,13439,15205,14716,14784,16557,13602,4965,12011,18847,17613,32793,14993,54403,44498,4037,22922,17527,28559,17622,8238
1,0,20192,68713,18113,7098,2331,19069,90885,276353,719638,753773,479514,381873,347151,366365,378718,375130,425310,526889,549350,624310,523319,368510,335174,304191,179156,18,159.1,4,252,5341570880,132120,4108354909,1233215971,834505834,956638447,780511602,662499409,874199617,819414803,413801168,167854058,221960504,615762121,954093069,2513300539,868600589,2695001818,2399931679,40446971,413332912,707703924,2620578244,943500623,369370824,93235,38885,17152,18185,19720,18055,20123,22241,16644,5063,13292,25377,21592,46690,20106,69945,58737,4674,26340,25167,37706,22452,12345
2,0,20193,68882,17304,6974,2275,20198,90285,262051,678011,720887,454938,378116,351777,374285,387249,383320,432238,508569,547190,630306,530196,365890,330121,299861,171022,25.23333333,524.7,4,504,5725665869,162610,4367716678,1357949191,1027154910,956407043,706963686,808128012,869063027,830721801,527227390,123435688,286938876,727597866,978530671,2821341641,787821127,2902523676,2667114636,49473106,500191210,790843846,2684601744,1110270196,434258209,114694,47916,24209,23011,22419,22406,22649,25493,22423,4285,14790,33253,27694,59964,22624,88564,71589,5448,34246,31414,44367,29106,15576
3,0,20194,76877,19819,7854,2687,20605,87513,252656,694939,792881,504367,407062,373216,394247,413616,412848,467457,558405,591219,658081,538972,369477,339399,308252,186259,8.466666667,156.9,3,756,6686294003,180536,4966166873,1720127130,888906592,1043828907,831334505,1144835378,1057261491,1110301992,609825138,147152702,438676623,1039770700,1190534522,2932229448,937930008,3569373496,2833003440,52094607,654730859,1156229849,2674466154,1178325465,686529996,126619,53917,22669,26739,25154,25073,26984,29958,23959,5642,15299,40173,30122,63895,25405,98119,77773,5898,39819,33691,46911,31995,17576
4,0,20231,60529,13189,5008,3755,17261,86093,264305,670463,683911,447707,378290,359858,385211,396454,407103,443007,523724,541004,659930,522205,345082,306904,274392,150174,3.533333333,59.4,6,1008,10026339313,428411,7957344320,2068994993,1257104947,1501630420,1572877292,1919369876,1706361785,1226977591,842017402,167500632,1020673372,1757780528,2064037184,4000137738,1016209859,5085900785,4649628161,71951880,942997525,1563476258,3062413200,2245418749,1849271338,312099,116312,56515,64003,63049,62537,65995,64104,52208,13538,49715,105683,85899,131916,41660,221719,201163,10123,86268,91011,100297,82175,53011
5,0,20232,65774,16207,5627,4478,18218,98405,298809,736714,757373,498152,415120,383265,403195,416308,425350,480502,594519,600000,686987,544828,370360,331483,293546,160427,18.9,448.1,4,1260,9752337154,474719,7257581044,2494756110,1262892570,1463313659,1450148355,1344746835,1736479625,1565764814,928991296,206388139,695044642,1815910269,2065552394,3859332319,1110109391,4765182999,4696490983,82337363,1017289344,1745839217,3379605197,2220541767,1016061099,337053,137666,61363,69106,66682,69164,70738,76681,60985,14935,59921,109834,95414,145487,49128,241642,226897,13199,94580,99385,112125,94720,54531
6,0,20233,61875,15085,5617,4960,18040,102582,299385,698617,732608,481875,407876,389439,409595,423699,429840,483465,576055,604232,695153,545644,371266,331547,289612,153300,25.86666667,892.5,4,1512,9349824025,433674,7056529244,2293294781,1393364977,1356905612,1461230448,1478152451,1366875756,1507667979,785626802,220429713,744626979,1803092102,2015703400,3565148502,1000823329,4798054202,4289076000,71203990,883995979,1768520195,3061264955,2202482817,1099662264,314172,119502,61241,60210,65010,64050,63661,71956,47546,17416,58645,102649,81848,129620,43496,226321,201057,11555,85950,89333,96214,89462,54861
7,0,20234,65553,16828,5949,5180,17940,99880,289635,695996,761362,513221,421054,400639,417555,431316,450179,509346,599333,629165,695461,536174,366761,330146,296138,160214,7.9,198.8,3,1765,9185551532,421850,7139260577,2046290955,1241070497,1418707393,1374339881,1580774710,1524368096,1253692551,792598404,234259628,765203263,1633761326,2031071120,3539497251,981758944,4699273275,4210650745,85651858,867096753,1533026977,3283376106,1872816435,1267955883,309015,112835,56496,62547,61134,62579,66259,63915,48920,18963,53470,97227,87854,122810,41526,230410,186019,13233,82038,79921,99227,85717,56292
8,0,20241,61548,14866,5271,5053,17047,95602,288227,665769,705502,470569,399163,382254,407811,423911,441874,482244,549468,592888,684683,552100,370814,330876,291802,153933,3.433333333,123.5,6,2018,9253788888,404189,7147807493,2105981395,1263084941,1582113456,1297363020,1547042183,1458203893,1291633880,814347515,231287560,712051879,1660979185,2104886780,3555320202,989263282,4973807879,4018146968,67688046,798093731,1709056666,3303275552,2102808551,1011032297,291523,112666,54569,58592,57961,60493,59908,61654,51012,18524,50267,93879,83840,115929,41750,220800,175949,10587,72840,85498,86533,82889,58401
9,0,20242,68405,17336,5975,5527,18993,106227,329723,743943,770489,518313,436208,412039,429464,442733,460824,525697,624501,636712,716656,567252,398534,353976,311785,164289,19.8,274.2,5,2271,10164382926,427166,7869922492,2294460434,1490259281,1763505894,1411747079,1761382514,1443027724,1380718159,913742275,254902616,865962856,1779262649,2270746374,3908624209,1084884222,5495718615,4344169023,76922579,869537939,1547546057,3384260809,2471958561,1489661694,307128,120038,55962,61112,62559,63000,64495,65705,54333,19584,56821,99954,81096,123167,46544,228719,192124,10936,72325,92895,90057,91926,62700
