클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,143812.0,51243.0,23454.0,7573.0,75537.0,198016.0,437503.0,1000660.0,1086106.0,748922.0,629442.0,585402.0,620871.0,652853.0,644102.0,737236.0,905473.0,922900.0,969845.0,870846.0,642181.0,582746.0,568219.0,319163.0
1,77645.0,19111.0,9672.0,14886.0,33183.0,145726.0,254044.0,551100.0,961766.0,657516.0,537522.0,532469.0,547210.0,584010.0,600629.0,655264.0,729240.0,797442.0,935113.0,812199.0,652133.0,603174.0,555015.0,314925.0
2,2470817.0,547830.0,213607.0,157934.0,1294055.0,3754604.0,6622296.0,14960574.0,21641643.0,15393704.0,11604920.0,10934452.0,11972903.0,12893734.0,12787146.0,14164043.0,16010197.0,17587275.0,21182053.0,18343747.0,13813037.0,13092225.0,12741650.0,7727916.0
3,416211.0,58113.0,4410.0,201.0,162971.0,472272.0,1000883.0,2481907.0,2964947.0,2104267.0,1631243.0,1522112.0,1688965.0,1780397.0,1744445.0,2019054.0,2386079.0,2381020.0,2601908.0,2389746.0,1812115.0,1668048.0,1624994.0,1077369.0
4,138442.0,38861.0,19933.0,7022.0,81572.0,162780.0,338882.0,835594.0,1265204.0,801028.0,557121.0,493104.0,543813.0,560105.0,550799.0,632675.0,749619.0,800969.0,1122492.0,847879.0,627782.0,608560.0,605806.0,319171.0
5,737895.0,157046.0,60728.0,44028.0,531175.0,1336573.0,2348071.0,5072771.0,7003028.0,4970788.0,3890631.0,3743149.0,4031875.0,4233414.0,4147738.0,4548597.0,5074354.0,5448089.0,6247596.0,5335691.0,3974996.0,3665852.0,3431820.0,2036387.0
6,233620.0,53230.0,31990.0,33968.0,178813.0,475597.0,916462.0,2226009.0,4177015.0,2780033.0,1909992.0,1694248.0,1825485.0,2020551.0,2021495.0,2157740.0,2397498.0,2626158.0,3416014.0,2605539.0,1800442.0,1746727.0,1704196.0,824045.0
7,127176.0,24635.0,20716.0,13632.0,47361.0,236431.0,418932.0,1151764.0,1721887.0,1141639.0,861037.0,851780.0,879573.0,966740.0,952022.0,1011616.0,1093506.0,1283006.0,1698747.0,1280903.0,927446.0,907777.0,883832.0,500630.0
8,120157.0,11603.0,1588.0,10.0,43223.0,268227.0,844795.0,2057886.0,2732759.0,1812839.0,1283415.0,1202380.0,1309702.0,1382237.0,1374591.0,1596160.0,1896867.0,1918375.0,2317431.0,1988198.0,1466034.0,1371229.0,1378213.0,707623.0
9,945325.0,158671.0,56945.0,41068.0,594344.0,1524213.0,2913483.0,6428700.0,8940750.0,6280353.0,4948535.0,4610287.0,5007827.0,5266479.0,5179710.0,5754533.0,6541330.0,7072521.0,8005743.0,6899735.0,5227297.0,4979105.0,4918571.0,3073847.0
