클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,14526,5640,2519,836,6720,16792,40167,109395,121997,75474,64689,61167,61799,65947,66152,79757,100951,96640,97638,80836,57459,53121,48732,27110
1,7315,2758,836,1970,2984,14517,27110,58956,97480,70579,58758,58373,62955,66486,67213,73026,82106,87540,101578,84192,67192,61657,54613,30459
2,229781,53008,23053,18721,130532,357234,610478,1383947,1976120,1431084,1087072,1030291,1124264,1207657,1199706,1345530,1539979,1673099,1980161,1652456,1234917,1184581,1140402,682143
3,39915,6250,460,20,16687,43809,92975,235872,271938,214000,165133,149455,167894,177978,171653,202697,243323,231761,248369,221346,170450,155178,149353,95255
4,13031,4116,2044,896,8974,15845,30614,74520,117808,77648,53163,46896,50430,51600,51336,58615,71476,75504,103846,72633,56011,54205,53086,27353
5,73193,15007,6428,4690,54065,128654,218695,493230,681161,484472,383838,371929,399807,417988,413276,461551,520625,547672,616960,505784,375129,345501,324478,190276
6,21309,6195,3486,3781,17459,44471,88529,214861,383133,263937,182535,162253,178371,191522,191488,208837,235900,257079,319661,238605,169828,164579,157048,77862
7,12235,2361,2382,1653,3982,23029,39416,110287,157050,109625,83786,83509,87062,95278,89974,99126,112289,130355,164558,117409,88328,88856,81690,45452
8,12597,1151,185,0,4516,23926,72966,191733,262136,172740,125348,113386,123217,130102,129363,154424,191024,181825,218727,180934,134337,128695,126936,63944
9,93214,15971,6472,4457,57683,146595,269882,619496,857989,615895,490706,453058,493496,518638,507311,573656,666709,705239,797138,656607,496400,478876,460888,285950
10,5878,1393,1306,1012,7247,14500,36241,88563,106852,74412,60227,55272,62528,63996,66762,74735,86153,86283,100393,95141,69577,65085,58283,36599
11,7083,634,0,0,2992,12139,30598,85429,94391,61408,50744,53974,51246,52476,53536,57440,71037,74180,76473,64790,49481,43383,41150,24135
12,18158,2126,670,494,25609,53800,65790,130080,202641,141990,107033,103424,115238,123235,117612,131958,152309,173277,206884,178797,122434,116314,100097,55978
13,13620,3076,728,1290,5626,19010,39564,109548,111190,88140,70862,68636,76250,78142,75206,86860,109152,99714,107708,88852,68836,72370,67298,35878
14,0,0,0,0,0,104,5597,17000,27000,23361,19167,18384,19515,19686,20766,22206,23972,26633,26906,16507,12034,10334,6988,1524
15,15534,1347,198,0,11364,26782,49896,115335,168199,102636,82437,78867,84428,89951,85682,100602,111460,120664,135347,117448,85601,79447,77293,46834
16,30236,1063,0,0,13647,38082,83794,169329,209135,178882,168589,148871,152548,166020,167193,186681,225602,228915,227493,195281,150770,143514,141960,86783
17,67422,18829,7051,4830,14742,81177,177173,434230,706926,415450,307899,299108,320356,342280,348707,379394,430219,489463,629690,502813,374301,372348,368780,220447
18,35810,14997,4278,2713,21051,29426,62589,162808,208357,145024,120326,116823,123160,132661,135761,152472,180148,181266,208913,172412,130230,116934,112373,68590
19,37916,5783,1694,1146,16700,53718,109989,277342,367551,268138,208922,194783,227537,258820,242119,280870,344240,389503,417017,328461,235391,250239,311595,125710
20,91753,15963,4425,2948,65585,168227,309430,702399,981366,748762,601355,569211,615911,653220,641653,716158,819908,868128,981194,816086,617701,591155,556863,336090
21,317093,100913,27295,17726,153862,329687,581962,1200856,1694883,1259487,1032671,1034381,1109634,1174266,1193618,1340710,1533747,1645551,1937173,1707882,1306604,1205362,1125359,771085
22,17830,2491,1035,1173,17880,32131,52407,103987,151072,100107,80260,76733,85239,89490,86748,95646,110546,122719,137637,131084,90777,83276,74258,40990
23,151143,44501,19101,18711,33101,116520,186863,421520,730769,652062,413341,378755,422495,477944,469920,502029,542716,639492,820221,671881,489923,499225,523303,320863
24,39952,6754,1741,1436,22769,70169,144138,336687,469559,341883,245683,225497,237657,256188,246949,273503,318039,358172,436689,339089,243665,229517,229074,127297
25,18727,3859,2100,2197,12242,63298,80110,170026,262513,163577,120811,115863,121810,130921,131134,142076,156836,184556,238187,198716,132515,122475,114869,71169
26,5727,375,361,320,5772,16059,27159,58746,95825,61784,44706,42176,47234,50345,52158,57599,65867,71947,86652,68421,48341,44995,39034,22731
27,17829,5332,2283,2947,29615,41183,70098,131606,171415,129807,109540,110412,118208,128173,128471,137939,138910,149437,187732,139299,116939,109631,96163,37520
28,46669,6681,1192,488,21101,53069,118085,269097,348695,261326,207078,196477,216593,228845,224649,253336,305557,311104,341995,302349,224468,216920,209082,127658
29,22830,1394,0,361,35917,116730,187527,414093,848043,496345,238201,209837,210695,221331,224797,250855,297255,422736,580816,433772,297575,288609,217865,121814
30,31582,7863,2466,2261,13054,72610,127521,295257,455324,337935,271097,254891,269012,277365,265070,283852,336410,344825,402884,295134,233622,236917,225788,129007
31,20224,2328,1110,752,18833,52549,96975,207414,286349,216411,170444,165593,176081,183140,180064,199593,228193,242813,253728,209107,154880,149805,139462,83880
32,32099,473,0,0,14467,47127,135620,348782,454258,329296,226408,211609,224211,245237,237611,283254,345955,373233,417778,367583,261877,261381,256802,127191
33,31,0,0,0,0,219,785,2514,3480,1781,1154,1125,1110,1169,1033,1275,1467,1355,1463,1572,1111,1016,1052,745
34,26327,13,0,0,7996,51923,104117,227611,272449,215948,163591,149644,165659,168097,156751,175703,203959,216301,245166,235207,185444,170280,177071,128230
35,19171,1148,0,0,4312,20972,45115,102508,169681,115115,85933,81328,91921,102170,101160,110572,128197,140695,166912,130395,98678,99931,106449,57347
36,9295,1829,669,0,1749,7096,21401,55580,73997,46378,32523,29430,32289,33353,33631,40215,51066,51556,63844,55359,40716,36190,36814,23389
37,100571,16609,7185,5083,76871,174142,302981,680876,965934,709655,545467,496413,543268,570683,549257,608576,702102,764330,882297,722056,538371,521496,506485,310720
38,21985,4919,2500,1176,10290,30646,90165,219429,304097,206971,151500,135424,146876,151153,150510,165809,187197,211276,267117,209824,155151,150606,141062,83706
39,128540,22573,9949,6779,62934,225373,428390,1001833,1372228,933887,696556,652750,711543,758740,737509,816825,953924,1069143,1325549,1062104,806211,799117,811256,475498
40,50342,8567,1028,0,41278,74556,134954,279261,357174,284716,229520,215019,236019,243798,240030,270551,319740,316310,367088,299389,215743,207238,204260,125884
41,59910,12293,5784,6819,25564,107799,202052,351444,538426,466587,336324,315302,337352,359319,365113,412319,476017,518113,593713,486049,365972,350527,335466,192923
42,23792,3106,625,121,7835,27805,61690,172402,173897,127959,99159,96581,113106,121018,113964,129175,172579,174450,193093,155482,115738,113561,125373,62527
43,57838,6654,4055,2685,59281,140638,235038,549927,659896,486900,398790,393439,438767,451838,449321,516606,606484,625515,699906,609828,438153,404148,371029,224146
44,23773,1898,360,224,7867,29207,67311,164396,219093,152720,120277,114321,127840,137029,136600,150855,172840,183707,204865,179281,129847,116280,112308,72477
45,3254,1034,0,66,1133,3058,10541,26024,21572,13541,10966,10822,10956,11953,11886,14395,20236,19273,19280,19902,13315,11221,11038,6702
46,20336,2015,0,376,15594,31909,70498,186730,198230,134884,106893,100749,105941,108129,102930,122905,151092,143154,151283,136056,100948,98007,94212,51564
47,11204,737,0,0,5594,17532,40099,83239,110624,72688,58277,54394,56708,60930,58837,66194,76482,78300,87980,88339,64266,55743,52111,35513
48,26273,5280,2308,1822,37667,80007,106507,231075,380834,281399,222804,215204,224808,241944,245685,256161,274775,292330,308848,231200,198815,197399,189240,107273
49,32833,9956,4525,3898,39643,80314,130173,288073,530672,308278,217549,225647,219341,240282,247396,270567,295650,337180,465426,262182,201979,205427,181209,101438
50,22848,3148,1311,955,17603,43557,78401,159569,164248,111701,88323,84081,91372,90983,89242,102013,121018,122826,141266,134975,101064,86481,83098,53849
51,14785,496,0,0,7552,28090,57560,144804,189595,125815,94892,91230,100252,104501,102621,113043,134050,146108,178170,155573,104714,93282,88770,48048
52,28472,5997,388,288,8951,44164,98468,246497,340413,216059,137681,121984,132477,133807,138317,159824,198320,217463,267288,178548,122077,107693,100034,58233
53,28790,7096,3722,3102,9756,53406,110638,216116,381574,252846,189418,190573,205666,227865,236244,261917,313034,332203,398942,282063,239112,236351,202083,115622
54,30382,13348,2787,1910,23167,31652,53802,112203,175894,125734,104205,99710,102083,109942,111152,119406,134161,155032,177492,143599,103135,95640,85971,57029
55,28917,5568,3,39,31303,64845,101599,240890,287140,200120,165268,157156,172144,178039,176691,201290,237129,238059,264552,238167,182304,163369,147662,96453
56,109087,25731,12511,8946,66149,151850,265822,598060,926230,694516,528946,505715,563128,607646,608506,692600,807909,865500,1045958,834067,628190,609545,573107,324195
57,22755,4558,0,0,3589,32541,59411,135455,179978,121954,94959,87213,95707,105302,102883,117628,144385,149742,172637,131220,105825,103577,103133,62997
58,31721,2904,588,437,16109,63502,129128,320152,401040,278139,210504,196476,208786,221125,215989,247963,297730,312570,355858,285649,211036,201310,202740,114480
59,60542,12989,3281,2768,26236,68773,161408,373970,434489,304577,249238,231961,242915,248042,245072,277215,326626,345727,399610,374468,272667,238907,232781,159317
60,13878,2631,1457,1259,9717,20576,51650,164701,147539,105784,83564,77093,84680,86141,88518,108953,119797,116664,127069,114165,82539,74566,74985,45225
61,21110,3677,1462,1062,9996,32991,62466,170126,276347,205096,152265,135133,151250,165939,157191,165209,191667,228643,302378,211738,152433,149251,149897,84069
62,46245,2904,2170,1709,33042,140511,261223,591630,833866,590145,413177,375003,388787,407381,402981,446484,503716,588624,736730,613583,437655,412916,404987,253134
63,17512,5016,2947,3475,7643,29941,52534,130242,246722,193301,112043,94840,95316,105605,104039,110560,115978,144416,200492,145700,104562,100357,98169,52020
64,14031,4002,2204,1920,6168,33260,50929,145512,284186,196184,107657,93868,96787,106317,104488,122579,148591,163019,234893,162172,106151,99166,94132,40287
65,85163,18249,5323,3012,43634,118811,205187,427302,684845,530958,370050,370372,417572,445669,456999,511293,566190,634474,773404,619276,494744,467493,459922,258254
66,23695,7376,4365,2987,22362,56724,82782,160647,223469,157758,129860,123244,131322,139328,140431,156540,181656,193868,220090,188667,136381,128637,118607,71115
67,7178,2307,361,454,2607,6871,24937,63139,60856,37566,28773,26772,27953,28368,26930,31553,42287,44528,49130,46478,29976,27226,26490,16951
68,65038,26788,10292,6944,47659,139863,181447,387886,672020,470204,363421,403157,404435,449995,455290,491567,528694,600861,778246,518624,424623,426396,351427,187246
