클러스터,00시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,14288,61299,56695,60177,64664,64074,76298,94808,93811,93667,77556,56616,52540,48353,27717
1,6177,57786,55911,59319,64867,64880,71540,78527,84201,94004,76601,62096,57575,50555,28774
2,224148,1058243,985473,1084443,1177397,1168486,1316431,1498906,1643533,1935040,1607554,1191119,1139216,1102997,665683
3,38714,158638,143730,164720,176453,168805,195683,237146,227052,244839,217032,162556,150345,144172,94377
4,12592,52215,45041,48384,50388,50878,58273,67350,75628,102057,70155,53673,50664,48661,25916
5,70701,371854,354821,387256,407154,400628,447084,503239,535183,598893,488585,362806,336495,314860,185059
6,20654,179233,157320,172469,185820,190071,202722,229676,254324,309877,229906,161505,156839,149580,73161
7,11639,82340,79430,81943,90364,86902,94342,104818,122883,155818,108607,81066,79393,76253,44129
8,11995,122029,109620,122068,126950,126702,154861,181274,179731,215264,175913,129375,123723,123018,63602
9,90856,475506,432985,475477,503673,493650,559735,646909,692080,775720,631087,477306,459198,449382,280059
10,5734,57777,51178,58636,62209,62654,71063,82006,81861,95777,93651,67305,61946,55403,35150
11,7013,48466,51271,49675,51259,51597,55063,68058,73284,76257,62504,46796,41994,39044,23914
12,17826,105553,102067,111450,120238,115460,129689,149893,169121,199952,173306,118147,109640,95962,53641
13,13308,72724,65826,76226,75250,72530,83382,105534,98100,104938,84046,66064,66690,66986,35916
14,0,17458,18474,18071,18617,19060,20118,22752,26342,26375,15340,11246,10579,6633,1574
15,14830,81954,76290,81592,89066,86035,99410,108753,119106,131619,113685,82189,78198,73222,45699
16,29314,163858,143050,148844,163781,162475,182534,219707,223568,220422,186631,149453,137970,138147,86390
17,65070,291995,281852,303813,323091,317814,348894,395142,461045,596178,482282,351471,352169,356250,215986
18,33577,117566,113155,122816,133071,137426,151423,181235,179712,204705,168158,126921,113150,109231,67807
19,36585,209753,193487,228249,266182,248291,285312,341952,382035,417078,325669,229085,240194,285009,121932
20,88481,585404,543701,594046,636229,623858,700337,794379,852993,957446,787677,594244,567742,545517,330799
21,312314,1003360,980930,1064418,1133501,1161522,1305605,1499385,1627695,1864981,1648444,1262906,1157986,1090424,761804
22,17555,77158,72268,82055,85835,84004,92577,106202,120091,134403,125400,86298,80386,70738,40125
23,148396,406170,369023,413092,469211,459962,487665,529829,639394,820323,670522,469752,482935,502938,316268
24,39045,238384,216065,230390,249613,243203,267075,309114,351785,428889,332082,235921,217776,218628,123434
25,18764,119148,109537,116891,128859,128476,138714,152391,180334,231534,193533,125095,117974,113576,68723
26,5532,43092,40983,44395,48355,49601,54970,64427,69827,82791,65661,46324,42981,38413,21577
27,17273,104416,102923,109344,124174,123026,130676,132427,144592,176592,130053,110706,105036,94114,38553
28,46306,202472,186231,210334,219431,220893,249014,299087,301635,332853,293580,217551,207787,202519,128963
29,21990,234785,204182,206255,218121,224416,247266,291373,414479,580523,430872,292691,276699,215394,122907
30,32002,261635,244264,253696,268635,259845,276670,319353,333724,391388,282974,223590,225310,215551,126419
31,20468,166062,159013,171588,176848,174966,197171,222673,239258,246974,199904,150009,143587,135426,80626
32,30572,227905,202194,215799,240639,226586,269428,334175,366692,411634,350842,256767,248559,247476,124698
33,41,1019,879,929,905,849,892,1080,1276,1501,1469,1144,1017,999,725
34,26497,157343,142975,158044,161827,152117,169512,200305,211671,238118,228839,175805,162496,169951,124486
35,19824,82743,76199,87404,97668,95621,104876,122372,139359,168426,132107,97762,97646,106412,57065
36,9568,30927,27415,30733,33039,33914,38438,50173,51669,63331,53749,39012,35755,35321,22943
37,98336,528533,474919,523823,555039,534495,597758,684536,758457,868417,699941,521130,507361,496177,307736
38,21261,148970,130560,140030,148260,147398,164484,182516,210131,260645,202269,152141,143940,138874,81734
39,125716,677219,618625,681198,737627,707579,783884,907942,1033624,1277923,1010749,758585,744896,771131,463607
40,49410,229546,209164,232904,237378,235828,263873,316278,310787,357625,290113,207430,197905,198484,123266
41,55239,330995,306597,329989,353112,348069,393099,451791,497224,581030,467154,349215,337611,317848,184757
42,23185,102435,95299,112270,124481,113953,129463,170835,173853,192583,155160,113546,109707,122271,61454
43,57434,387985,371274,417450,435712,430719,504694,577898,606818,676672,583728,419061,387788,361094,216382
44,22882,117022,109338,121148,129173,129719,143317,163869,175961,194106,168500,123630,111136,108034,71871
45,3288,10769,10202,10459,12123,12048,13793,19860,18789,18977,19017,12366,11249,10469,6576
46,19496,104326,96689,104698,103164,99240,118583,148239,143506,145645,132263,96544,93976,90401,50089
47,10872,57846,53061,54788,59846,58346,65083,74635,77812,85189,85570,60873,53849,49365,33937
48,25901,212939,212276,221090,235852,238702,257231,269580,289865,298542,218487,180830,190327,186744,105574
49,32486,210796,218901,209890,236786,240450,264424,286041,332933,462558,254085,193901,195164,171575,97427
50,22602,84824,78297,87328,86814,84603,97507,115250,120860,134748,128006,96621,82096,79957,51742
51,14994,92414,85603,97599,103279,102824,111291,132031,145255,175511,150396,100985,90627,86993,47154
52,27166,135501,118926,130772,132989,132584,154082,185186,210877,257224,164610,115283,103058,97089,57613
53,28890,182299,186573,195211,219789,224806,247773,296749,317883,381797,263518,216940,219400,191172,111302
54,29749,101586,92689,98017,106687,107385,118039,133564,150817,168351,134173,98784,91154,84513,54034
55,27808,162633,150325,164593,171100,172765,195570,227492,233329,253979,229998,175383,156046,143812,93455
56,107779,521288,484029,544845,593883,588457,668406,773265,847418,1017304,800561,600942,584810,551699,317385
57,21946,93033,81914,92332,100644,98586,116295,143285,144861,171615,125901,102296,98612,101101,60675
58,31143,208247,190370,203872,217818,209971,242521,286972,305641,348541,276909,202801,192719,195467,111745
59,59154,240208,222792,236576,245888,242667,268774,315597,339383,392211,364362,263521,232890,230131,155269
60,13440,82208,70375,82174,83050,86008,108285,119474,116467,124770,110108,80746,72197,73860,44402
61,20296,148307,125619,141367,157539,148428,157514,185173,222338,294033,200049,142605,139993,141464,80770
62,46004,394409,353824,368217,395903,388475,431799,484663,580537,723637,595464,422320,397965,392157,246568
63,16565,112131,90480,93018,106002,101741,105812,113123,141709,201082,144226,99276,97702,92304,49867
64,13495,109790,92620,95326,106523,104726,119635,142518,163111,240296,160400,101495,95389,86845,38777
65,85692,357239,354602,396322,430046,444499,492569,546604,618365,758071,592629,466372,443722,437659,249250
66,22650,123205,113203,125264,133935,134425,150813,173245,182630,212905,178316,129162,122406,112932,67083
67,7263,29501,26083,27545,28738,27827,32656,43418,46022,48731,45368,28291,26967,26204,17678
68,62621,354595,391612,398294,448813,455464,492782,526242,608409,794089,506023,415258,417512,352047,180226
69,18538,191453,171760,178447,194212,192720,211727,257831,278302,333462,293211,215640,208336,203352,127733
70,105351,300124,308596,341817,364537,375687,421786,490312,511538,561024,465052,369208,374556,378079,244415
71,27657,139856,130804,139866,148387,146787,160453,198461,209748,241226,205800,144067,135054,127092,79618
72,69398,391209,364120,401819,421358,416330,467235,533827,588322,684352,563472,413136,388926,391874,230955
73,63405,339133,351079,391428,432668,450248,479174,520735,537986,584355,466523,351039,307220,284505,180279
74,2843,21953,18643,20190,20204,19976,22362,26752,27592,27970,20548,16011,15921,15734,9530
75,25696,199278,186710,198212,218911,214986,245387,293483,303399,313532,257758,193325,179553,166979,89090
76,1595,20197,16828,18168,19714,19765,21483,23527,30630,32293,23649,17265,14961,13654,7580
77,22156,286382,270204,278944,303246,296068,324747,347709,426379,492700,347640,271394,274809,237497,136016
78,4041,65147,58711,66060,68215,72566,75896,82487,128517,183028,93290,74166,77722,62391,28769
79,4776,23853,21673,24942,26436,25812,29788,36719,37467,50038,39582,29224,27849,27653,16197
80,13771,82215,74752,78607,86494,84282,98332,112841,121778,143592,107365,78181,75743,76645,42636
81,23252,87271,76628,81588,89556,92350,108259,116620,128392,163612,137470,105751,107454,101936,62386
82,33067,164579,160869,187050,196798,197700,212947,257123,249096,253621,205366,159789,149395,155035,80166
83,180533,676607,688913,766815,828357,845377,989212,1135000,1177431,1330953,1177405,924193,820871,770526,495840
84,31179,197700,179229,197104,215651,214373,239071,267918,291163,348281,274652,201866,188892,181469,106787
85,20947,138357,127971,142474,147207,147222,162481,188258,201058,220669,181534,134464,121267,119912,70073
86,64479,305345,296392,332634,352634,350244,383459,453017,487195,546527,468100,324425,303104,262319,155902
87,28865,218052,202420,224586,240878,243494,275226,316885,339729,389120,329274,246092,222258,215222,118508
88,8700,100304,86805,97754,108718,116558,130800,156515,155005,194812,145439,92195,102473,101567,39906
89,77575,451723,436928,464975,508991,484549,537721,642894,717040,835522,744084,517002,480201,473716,287815
90,67375,194267,205757,231521,246707,257349,270756,277498,285350,291978,227435,175685,168819,164093,116280
91,25,10389,9229,10453,10409,10887,12018,15178,14064,15449,18683,13033,11278,10195,6787
92,49790,272194,234155,244845,255547,249519,283206,362202,479384,641592,440940,282768,261871,245856,138835
93,10327,113679,108853,116590,123790,122621,138547,155648,177921,204194,173012,115054,107677,97082,59594
94,74436,357430,329426,358513,382423,379538,428305,490608,535772,602620,497019,369799,357413,339786,214135
96,523,4356,3504,4259,4604,4246,5267,6295,6801,7432,6116,4242,4106,3977,2227
97,24008,105523,86174,89595,100473,98453,103526,110268,118533,148737,115556,85305,83374,83005,50331
98,16079,69996,66090,76860,82422,81670,92082,107445,117037,134260,121761,86769,82091,82414,50264
99,13926,73236,67996,72223,75202,75431,85287,102884,103300,112332,94938,69106,65117,60678,34870
100,21733,107587,101896,113970,116931,117000,132668,150186,162224,191008,143084,112209,105229,100996,54248
101,15765,177222,156441,163530,172709,165951,185566,216560,243722,299449,213927,163964,162382,155872,86789
102,3254,25973,22792,20709,22480,22970,29000,33034,31575,25108,19565,13661,12315,10776,6687
103,45645,413504,388826,430700,466357,455282,517372,605722,630882,717946,623725,445205,413459,379499,223229
104,927,17076,14398,16406,16852,16915,19409,24051,23315,25092,23134,16476,14093,14078,8213
105,12689,150353,132071,140888,153823,153637,176258,208544,218375,263413,195010,137616,133206,134932,59921
106,34339,177607,169833,179259,200267,202260,223311,256343,272113,325528,241889,188359,186195,183033,111809
107,96980,384656,366477,414055,443423,439941,501397,585973,653120,773351,613328,468641,463961,441211,268308
108,33591,160397,153361,175955,192505,191251,209276,233786,243772,276541,224804,178013,168337,170040,105953
109,12526,183579,155932,184236,188675,180261,207655,227197,267603,309418,257174,204769,200315,202294,142271
110,27010,153627,138853,157231,162549,154755,182361,222850,242014,292790,237077,170049,156664,152146,86641
111,31260,169797,161492,172761,183965,189531,211709,239290,250443,268133,236493,173278,161573,159539,98827
112,21856,91680,87842,98501,104293,105744,117761,132255,136396,140223,124750,94272,81833,75172,48711
113,51906,283027,266004,289232,310828,308222,335804,386845,418991,477924,375640,275135,269173,256202,155767
114,5368,27928,26313,28746,31363,30449,34393,38748,40327,43794,34590,26157,26049,24104,13819
115,123044,535098,500300,549546,579313,564547,628047,710183,808538,976839,922044,679437,659804,658851,436646
116,24199,182030,178693,191481,210840,205560,240437,274498,274178,297575,252109,194006,177828,181195,97668
117,7170,86472,72669,78993,80319,88954,93189,103567,112632,105512,78927,58429,56887,50101,29471
118,2592,29371,27195,30468,29006,32518,33978,39394,37000,34241,23162,19872,18171,16582,7987
119,60476,303962,281503,307299,321730,313708,357093,411225,453183,524311,437615,311635,296929,286603,174481
120,13085,73231,67853,74973,81431,72855,91382,115831,118290,117157,98327,74846,67772,63609,37234
121,27997,272344,229194,237849,244316,251013,250648,284417,320627,347159,263349,209657,216942,205268,138793
122,3700,83651,71678,80202,82854,85738,101477,114033,151253,203634,168594,102393,97485,83430,45922
123,7829,64305,58996,67567,72500,68001,72059,91565,101668,106580,90043,66843,66368,78880,42071
124,49216,481118,456855,511056,520158,530870,608412,710487,771730,913156,792935,562148,523073,459869,288612
125,21806,130388,126403,138594,142199,147606,163984,187651,198956,212338,195396,147108,130836,118569,77743
126,14980,184390,140799,165934,163550,151880,168626,185915,201658,199289,130355,108414,104396,94761,64980
128,13042,69053,61697,68085,71428,67771,74830,85773,90052,96202,86767,64846,55761,53954,35388
129,95758,384227,368516,398185,438006,432225,486628,546323,595411,681887,576320,432541,394647,414020,264547
130,6033,17815,15056,16997,18178,17598,20422,26414,28846,32655,28925,20174,18070,19239,12527
131,5819,51738,46373,48405,54218,51843,59424,70243,76263,88060,72060,49598,46329,49606,25599
132,67453,460406,420268,445740,485877,483224,523216,601062,707898,952952,650048,452746,435613,406995,203615
133,14225,123760,111414,119042,126771,121256,136617,152563,167556,197530,154712,110127,105528,100242,55678
134,15293,132867,127894,141684,148011,147458,168187,196186,201914,232015,190581,142591,131060,125003,73942
135,133106,614515,564102,630173,684783,664381,729533,826113,980488,1202709,953097,719522,719083,702690,444007
136,24426,81489,75202,84649,94281,97807,108504,117055,131710,160236,137560,107258,105213,104822,66764
137,58628,310352,286418,302242,322237,318670,347222,406916,429290,458193,361923,275583,274083,265023,158188
138,19641,173823,156247,162037,181803,174255,192909,220538,249580,316778,236413,173345,167119,165830,99847
139,27135,84424,74338,81602,84050,84678,97391,113841,119715,135326,123498,84921,75952,74061,52922
140,16398,84077,79713,88143,94133,90667,100067,115156,123407,131881,117062,85370,77796,73247,46784
141,55013,278251,292797,340360,369206,367880,408352,461645,458073,475395,398377,311373,288322,280984,139628
142,24170,152592,140521,148939,155376,154909,171353,204902,207381,223453,191781,140298,125214,119040,76615
143,16859,110280,92167,99919,106980,103423,115692,135102,159240,203028,138984,97372,88284,76829,43234
144,14591,86296,80027,85535,88077,86346,98225,126739,115021,115595,106906,82835,67464,65122,45137
145,75121,249865,235135,264689,291960,283560,303132,344389,410363,524632,417070,300990,311344,310802,213406
146,35833,202326,189857,203034,209673,208963,243952,278684,289375,325608,298022,217630,197654,179781,121019
147,58945,203389,188891,206130,221262,214958,241887,299250,303188,360464,269806,216587,214403,213403,123804
148,5713,55424,53015,57531,63708,57506,66944,74436,77532,84964,67010,52184,49298,46881,22464
149,13924,157589,153171,159266,168038,181660,206814,224917,286737,370706,214889,170187,167781,142042,68406
150,19509,125838,123163,125564,134258,136630,144984,166845,174551,204744,154089,117653,112482,109795,67134
151,78093,498742,452203,484661,519274,513528,580095,663994,723328,850855,686570,508645,472972,465706,267156
152,10240,56887,52192,54681,57973,57551,66245,78435,80971,89578,75568,55930,52642,51601,31623
153,87257,289253,268103,289796,340311,329050,347795,392572,467969,609205,453076,322073,333014,344873,190601
154,39925,119386,125987,141035,155957,162370,170831,172848,182359,198355,162149,129939,121392,118822,78794
155,9207,45438,41091,42236,44302,42944,53896,65448,65620,71396,64587,45222,39773,41221,25150
156,29519,201193,182301,175927,197509,196790,198726,235068,245512,240943,203702,155201,142418,140220,88471
157,12100,60183,56035,61146,63944,63277,69497,81702,91603,101147,96831,68153,60485,57449,34712
158,206510,1164083,1152893,1271346,1357243,1381027,1527041,1704164,1788477,1924793,1573408,1160354,1072332,1001438,593556
159,3419,23683,20337,22556,25732,25385,34027,41114,35526,35205,29994,20000,19645,22825,10367
160,13306,95277,87925,95197,104483,104452,117767,132104,145946,177079,145627,110108,105339,99306,55042
161,7691,50875,46425,50350,56184,54143,65132,84063,74002,75015,61492,45367,44106,45439,22651
162,30300,161739,145120,160999,165171,164592,182175,217659,231694,257751,227201,174283,162057,153798,96248
163,6772,62825,56307,66686,67792,69250,79188,100997,104378,102183,81654,61201,58179,61112,28903
164,7420,35838,32242,36250,39827,39294,45292,55225,66215,84693,53242,36162,35523,38126,21550
165,47723,319679,293922,333383,358172,345323,392564,436239,493478,587405,511833,389972,378411,377761,248424
166,43758,126295,115250,129625,145165,142428,172117,212804,209615,258626,217997,158753,163036,169305,103120
167,15306,122164,116272,136118,154852,147593,166413,194708,212279,225418,161965,119944,119011,128627,53005
169,29204,225066,208568,225568,244870,246615,276019,313130,340682,390130,318329,230828,213879,196146,112991
170,140157,1002984,905108,974295,1035876,1002571,1147551,1331994,1496840,1797659,1406831,1039134,990093,991319,570677
171,12931,60209,57227,64003,64720,66176,74452,85371,87610,101377,96158,67550,65991,64580,41117
172,6906,114835,109299,118952,134494,136369,146925,172051,173229,181381,119907,87268,92155,78894,41752
174,22497,161511,141637,143114,160017,152662,171252,198468,210365,224696,175582,136160,135831,131498,88176
175,17927,110021,104155,119542,125271,125145,139678,166916,175004,196077,159726,118195,112521,111775,66851
176,11497,50272,43740,49079,52930,52007,60165,70726,71256,71634,58155,43377,41946,42746,28206
177,8116,42978,38870,39778,43800,41914,50114,61561,63137,61853,53536,36193,32847,30036,18340
178,9145,54216,48742,56760,61607,61643,71283,90607,89830,98415,80129,58155,53695,53650,32845
179,45297,140388,128276,143324,152412,154327,173943,209566,228585,296104,220352,166758,162349,162714,91556
180,53953,287661,276480,304611,331476,330541,368206,423869,474104,566914,457034,337469,318861,325805,181003
181,7608,48045,42853,50015,55959,52495,56739,69930,71205,76031,60688,45577,41630,42456,26727
182,6636,39769,36458,44155,49839,46062,47774,53602,62962,68431,54279,40710,39898,39498,24816
183,25156,198673,190810,208113,220394,218090,247016,274886,335475,415413,317803,219349,221798,158084,92812
184,42317,239453,253584,274260,300146,323855,331217,324912,330694,342512,224213,151140,136214,119810,69619
185,82847,273767,252369,282116,287441,290260,327798,407979,406821,461649,412265,312524,300928,295060,201330
186,18535,154541,137803,148194,158812,154745,173509,205829,227558,292252,213567,152794,140418,136578,78103
187,19587,154204,137763,149337,161782,160940,181365,207234,231726,290995,219656,153187,143103,134333,72450
188,7656,55702,48484,51729,53552,54127,64047,77603,104476,127904,100020,65402,63388,52087,29108
189,2079,33239,26824,28496,29107,25218,33902,31798,42719,47109,29215,24114,20767,17480,12032
190,16675,101881,96277,102856,109967,103450,114848,128801,128673,140747,121996,88098,85435,82458,47192
191,32883,231357,212922,238811,243467,246898,285291,354079,350583,417053,342130,247136,235634,235152,135056
192,52419,267530,247912,271449,287467,293078,325826,383819,414422,463885,366390,280134,267768,250021,150744
193,65237,410091,372867,399701,426505,411379,460895,523295,588009,682007,508782,376972,357977,344540,201997
194,7231,38493,35330,36230,41601,39723,49292,56912,55481,70864,49400,38179,38043,39098,22933
195,22199,99557,99903,102557,108544,106824,116592,131513,145843,169137,145013,107530,101828,99843,65126
196,159152,819659,895399,962531,1034149,1024827,1128811,1213394,1370212,1566279,1011968,823203,810738,722314,427877
