클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,3270,1500,206,356,1310,2446,3442,4722,5722,4702,5230,4636,5704,5572,6592,7084,7428,7364,7018,5348,4844,3780,4240,2644
1,5821,847,206,144,713,7822,9732,16266,20559,18852,18925,20112,21048,22596,23433,25261,27173,24598,28277,26233,27269,23228,20842,13168
2,738,154,0,0,390,678,3067,5388,4935,2994,2051,2070,2176,2322,2127,3054,3480,3807,3993,4315,2970,2816,2437,1839
3,340,2,0,0,137,534,1359,2308,2936,1800,1788,1989,2012,1942,2120,2310,2319,2240,2050,1949,1514,1570,2287,912
4,2164,750,246,234,2194,3768,6376,12698,19612,13246,8382,7518,8370,8524,7994,9586,10672,11428,13370,10460,8228,8844,8576,5062
5,3,0,0,0,0,188,198,328,502,233,208,206,206,168,191,203,281,292,243,179,152,144,131,73
6,85,0,0,0,8,231,709,1191,2923,1328,216,501,795,623,874,2186,1639,1081,1378,1224,862,942,927,543
7,1,0,0,0,0,52,212,337,447,307,284,238,264,243,282,333,462,488,709,398,465,364,459,258
9,131,54,0,0,84,193,815,1898,1983,1809,1390,1499,1751,2099,2192,2223,2587,3032,2172,1496,1877,2735,3670,864
10,95,33,0,0,179,380,1071,2852,2037,1212,667,678,647,510,228,401,470,299,477,767,440,387,430,218
11,318,2,0,0,434,254,752,2394,2010,1600,1284,740,788,676,504,874,2448,1134,1696,1490,1486,1476,1118,694
12,2886,126,111,156,2719,5003,9941,24084,25603,17755,16877,12942,18688,19497,14241,18200,25149,26780,31995,35290,23139,20822,18089,11258
13,75,0,0,0,69,172,217,1107,695,337,369,328,416,348,329,1115,853,681,530,314,312,273,257,202
14,22,0,0,0,0,0,250,272,576,326,580,432,322,448,278,370,418,536,502,274,136,220,178,126
15,0,0,0,0,0,94,922,1762,1164,932,710,490,562,436,380,428,796,638,1252,1294,982,1084,1026,402
16,108,0,0,0,304,596,484,1700,5670,2526,2222,2120,2360,2438,2414,3346,3318,1816,2018,1436,1034,1194,1460,766
17,106,19,25,89,1522,1727,1200,2286,7482,3797,1990,1525,1744,1708,1617,1651,1782,2942,5135,1493,986,828,501,202
18,0,0,0,0,0,0,300,1196,2088,1142,494,442,430,502,502,434,490,578,860,584,414,288,316,146
19,130,0,0,0,14,144,349,1291,1864,1127,979,788,681,927,943,975,1031,1061,1790,1196,742,1051,805,258
20,0,0,0,0,0,0,119,137,269,218,149,151,60,94,56,35,48,12,22,27,31,23,17,28
21,3151,1520,876,902,5517,4513,7028,14752,21604,15468,12084,12283,12361,11961,12047,13110,15712,17300,19561,12993,10527,10440,9246,3398
22,0,0,0,0,0,162,282,612,576,416,166,174,130,150,74,68,106,30,64,32,60,6,46,18
23,701,90,0,87,969,1355,2567,7051,6454,4720,4259,3946,4300,4298,4324,5747,7396,4360,4440,4547,3746,2895,2568,1810
24,138,0,0,0,0,340,1394,3230,3644,2676,2160,1914,2118,2014,2198,2198,2612,2950,3212,2844,2168,1864,1848,1102
25,20,42,0,0,0,0,2,20,18,24,24,28,34,34,22,34,32,44,110,78,68,58,90,40
26,0,0,0,0,0,34,226,668,1196,1238,916,952,992,1110,1114,1230,1362,1656,1694,1310,848,1102,838,444
27,0,0,0,0,0,0,302,630,550,480,204,240,276,218,260,278,294,428,540,598,480,564,432,352
28,0,0,0,0,0,82,150,574,258,212,56,72,60,184,254,436,420,556,558,776,688,818,688,320
29,6,0,0,0,0,101,468,1440,1787,720,642,510,562,587,509,477,605,583,869,806,501,548,481,333
30,2532,108,201,165,3474,4693,6643,14192,18019,14234,12556,15161,15068,14991,13933,19020,18317,18853,21810,20050,13945,12489,11456,7604
31,987,278,56,0,272,809,1934,3464,2927,3155,3292,3157,3812,3881,4011,4636,5278,4866,5194,4890,4202,3940,4007,2596
32,116,0,0,0,0,150,296,792,1226,1694,894,882,858,846,826,728,946,810,1122,756,550,522,628,450
33,1185,0,0,0,2700,5074,8206,17273,11485,10619,8605,9080,9996,9490,8995,10197,9919,9196,9860,10075,7906,7305,7337,4123
34,183,40,80,35,181,422,392,772,2026,1356,1017,624,624,593,616,685,719,968,747,402,289,265,200,94
35,4105,200,0,0,4962,27673,78412,143580,213830,135234,69463,52736,54994,59230,59360,71126,98161,137525,160511,123042,89868,78164,61958,37834
36,394,76,106,52,270,1508,3708,6602,5444,3480,2322,2220,2030,1422,1666,1510,1718,1966,4142,3982,2370,2260,2700,1874
37,2743,879,786,405,2985,4068,7689,21229,22749,13888,11990,11046,12132,11833,11813,15641,17500,17030,18311,13641,10835,10042,9241,5573
38,1124,282,24,0,948,1706,5626,11716,12348,8190,5058,4440,4746,4478,3940,4330,5718,6130,8052,6502,5032,4324,4352,2590
39,1094,264,3,0,306,1676,3330,7739,7748,5254,4116,3572,3375,3078,2885,2552,3887,10550,5852,4019,2788,2722,2758,1948
40,598,50,10,0,162,1064,3852,10010,8540,4398,3204,2636,2586,2732,2336,2392,3034,3218,4236,4588,3472,2914,3224,1860
41,0,0,0,0,0,0,26,101,26,3,46,44,43,47,47,47,37,6,28,12,26,39,3,14
42,82754,28238,15316,14735,13818,57008,108983,249179,332857,295806,234304,234500,253477,289317,267995,304059,340613,388311,440335,361151,312480,328328,340515,225232
43,56,0,0,0,0,70,600,1406,1218,752,602,586,576,656,562,664,896,942,1080,1074,774,936,596,478
44,17,0,0,0,0,36,77,190,251,225,145,168,204,294,293,346,270,332,85,118,150,167,120,41
45,56,0,0,0,328,828,966,1310,1804,1230,944,870,1078,896,826,1008,1062,1138,1414,1134,1214,980,790,344
47,476,86,0,0,450,1134,1886,4726,6020,3740,2494,2684,2684,2888,2748,2996,3410,3524,3640,3506,2566,2210,2156,1296
48,1589,149,95,127,1235,3090,6876,14503,20587,9502,7836,7019,7851,8362,7672,9281,11292,12193,15098,11063,8242,7631,7668,3761
49,536,183,1,0,501,1096,3026,5487,5755,4083,2820,2873,2751,2921,2734,3230,3547,3733,4203,4382,2868,2586,2201,1294
50,111,12,3,4,4,55,285,2399,1282,387,363,194,291,320,201,732,614,290,318,271,204,207,180,136
