클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,11902,4881,1968,1803,6319,17133,41917,104004,102688,70892,62448,60636,60230,65034,69716,81842,96706,88603,92077,75325,55408,48441,45176,21271
1,5287,4060,2156,2064,2684,11135,26497,55101,82741,63196,60035,61999,65404,69699,69586,76729,80768,82098,95423,74203,58606,51374,43534,21712
2,167665,47040,27218,22160,113236,284422,511126,1163837,1545441,1108540,882331,854177,934185,984588,977211,1133146,1279327,1381968,1582934,1257112,964896,903135,824539,455980
3,29111,3519,980,801,13915,41714,85524,206964,242970,174168,140843,136811,150034,160004,152174,190326,217243,210897,216694,191958,142552,132124,120513,72704
4,9220,3455,1540,918,8470,12713,27701,66017,92711,59347,41957,39129,41561,42981,42725,50707,59752,70004,88951,58249,45912,41820,40750,21002
5,65048,13626,8329,6918,53893,115701,219720,512331,683466,478779,387935,384500,411915,424341,425107,492046,550306,573749,642858,503213,385806,349508,319426,167445
6,24023,8148,4768,4326,15449,44428,89493,245203,383204,255960,173659,155316,169291,179480,182475,214104,240271,276019,318414,217052,161867,155215,140740,70416
7,10005,3084,1761,1727,4637,21355,38184,105319,143231,94759,77916,83800,85113,89500,88627,94340,107915,135599,155703,107385,85003,78253,69578,35451
8,12924,452,0,0,4649,24023,79619,199394,254691,162542,124847,116502,126177,133764,137946,164616,192298,189968,225278,179596,136516,126497,121688,59857
9,74781,17841,11601,8696,56907,122294,245623,561936,723618,515158,423059,401561,437839,452430,444880,515325,586061,606041,669318,548764,419223,395622,363730,205657
10,5293,1564,1509,1169,5728,13131,38016,89533,102713,69083,55053,52074,60910,59606,60074,70966,81097,80876,98630,95619,61777,59858,48317,27923
11,4249,385,0,0,2505,9615,25187,70656,81453,52556,46627,50024,46683,51287,49946,54335,63938,63925,64018,52956,40459,36157,32979,16248
12,13075,2074,828,848,20077,42691,59797,126068,178581,119495,96362,93487,102349,106786,103111,118976,134542,154411,178146,148024,104788,94151,77203,42154
13,10136,1956,910,866,5228,19340,42092,119014,97274,75044,63076,61748,67682,69360,67726,81028,105390,88462,96962,82216,64220,61444,57278,29016
14,0,0,0,0,0,34,6411,15230,23174,20061,16680,20014,21357,23881,24774,27639,31315,30383,26003,14651,10708,7573,4408,1138
15,18672,2555,849,612,17847,38737,66753,146688,198782,127746,110457,107435,115094,122348,117452,137213,152611,157986,181199,147673,110341,100313,95718,53684
